Rvote,Dvote,Pvote,party,Ovote,SNSPA,Republican,Democrat,Rep or Dem,Independent,No Party,Other,male,vote,Cons.com,Share,Discuss,Brag,Fact Check,Campaign info on SNS,Discover who your friends voted for on SNS,Friend of candidate or political group on SNS,Post content related to a candidate or campaign,Join a political group on SNS,Start a political group on SNS,Get campaign info from Twitter,Follow on Twitter,Include politica links on Twitter,Follow election results on Twitter,View Affirming,View Neutral,View Disconfirming,How liberal,Ideological intensity ,age,educ,empl,hisp,black,inc,Use SNS,weight
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,0,0,NA,NA,0,10.72
NA,NA,NA,0,NA,0,0,0,0,0,1,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,3,0,8.48
NA,NA,NA,1,NA,0,1,0,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,4,5,1,0,0,6,1,5.2
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,5,0,1,0,NA,0,3.24
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,6,1,0,0,8,0,1.84
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,2,2,3,1,0,0,5,0,10.72
NA,NA,NA,1,NA,NA,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,0,1,1,NA,0,4.8
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,3,1,1,5,1,0,0,2,1,7.44
NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,4,7,1,0,0,9,0,2.72
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,2,5,3,1,0,0,4,0,8.2
NA,NA,NA,0,NA,1,0,0,0,1,0,0,0,0,0,1,0,NA,0,1,0,1,1,0,0,NA,NA,NA,NA,1,0,0,4,2,2,3,0,0,0,2,1,3.52
NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,3,1,1,3,0,0,1,1,1,6.68
NA,NA,NA,1,NA,0,1,0,1,0,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,5,0,0,0,5,0,1.48
NA,NA,NA,0,NA,0,0,0,0,0,1,0,1,0,NA,0,0,NA,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0,1,2,2,1,1,1,0,1,2,1,9.12
NA,NA,NA,1,NA,0,1,0,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,3,1,1,5,0,1,0,9,1,7.96
NA,NA,NA,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,3,0,0,1,2,0,6.6
NA,NA,NA,0,NA,0,0,0,0,0,1,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,6,1,0,0,NA,0,6.4
NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,3,1,1,5,0,0,0,3,1,4.44
NA,NA,NA,1,NA,0,1,0,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,5,0,0,0,2,1,4.24
